epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
326	13623	1.6622	0.79778	0.0000	0.00000	1.6169	0.84300
327	13665	1.6578	0.80276	0.0000	0.00000	1.6121	0.84850
328	13706	1.6630	0.79748	0.0000	0.00000	1.6101	0.85000
329	13748	1.6606	0.80020	0.0000	0.00000	1.6185	0.84180
330	13790	1.6613	0.79918	0.0000	0.00000	1.6199	0.84080
331	13832	1.6590	0.80150	0.0000	0.00000	1.6147	0.84600
332	13873	1.6583	0.80176	0.0000	0.00000	1.6130	0.84750
333	13915	1.6607	0.79930	0.0000	0.00000	1.6152	0.84520
334	13957	1.6562	0.80418	0.0000	0.00000	1.6099	0.85120
335	13999	1.6586	0.80142	0.0000	0.00000	1.6121	0.84850
336	14041	1.6591	0.80114	0.0000	0.00000	1.6156	0.84520
337	14083	1.6569	0.80346	0.0000	0.00000	1.6102	0.84980
338	14124	1.6587	0.80130	0.0000	0.00000	1.6104	0.85060
339	14166	1.6556	0.80500	0.0000	0.00000	1.6113	0.84950
340	14208	1.6557	0.80484	0.0000	0.00000	1.6100	0.85110
341	14249	1.6563	0.80388	0.0000	0.00000	1.6117	0.84900
342	14291	1.6553	0.80516	0.0000	0.00000	1.6076	0.85310
343	14333	1.6532	0.80730	0.0000	0.00000	1.6105	0.84980
344	14375	1.6566	0.80398	0.0000	0.00000	1.6159	0.84490
345	14416	1.6529	0.80794	0.0000	0.00000	1.6130	0.84740
346	14458	1.6534	0.80664	0.0000	0.00000	1.6121	0.84900
347	14500	1.6557	0.80480	0.0000	0.00000	1.6137	0.84700
348	14542	1.6556	0.80482	0.0000	0.00000	1.6128	0.84780
349	14584	1.6536	0.80682	0.0000	0.00000	1.6132	0.84730
350	14626	1.6541	0.80648	0.0000	0.00000	1.6078	0.85250
351	14667	1.6519	0.80838	0.0000	0.00000	1.6198	0.84160
352	14709	1.6552	0.80490	0.0000	0.00000	1.6183	0.84290
353	14751	1.6560	0.80464	0.0000	0.00000	1.6115	0.84880
354	14792	1.6584	0.80198	0.0000	0.00000	1.6157	0.84480
355	14834	1.6570	0.80378	0.0000	0.00000	1.6087	0.85220
356	14876	1.6540	0.80656	0.0000	0.00000	1.6119	0.84800
357	14917	1.6514	0.80870	0.0000	0.00000	1.6108	0.84930
358	14959	1.6556	0.80472	0.0000	0.00000	1.6074	0.85310
359	15001	1.6522	0.80790	0.0000	0.00000	1.6076	0.85270
360	15043	1.6554	0.80496	0.0000	0.00000	1.6102	0.84990
361	15084	1.6519	0.80884	0.0000	0.00000	1.6089	0.85050
